Date,Home,Visitor,PitcherH,PitcherV,FinalH,FinalV,OpenH,OpenV,CloseH,CloseV,H538,V538
329,MIA,CHC,JURENA-R,JLESTER-L,4,8,155,-175,175,-200,0.39,0.61
329,NYM,STL,NSYNDERGAARD-R,CMARTINEZ-R,9,4,-125,110,-138,123,0.52,0.48
329,ATL,PHI,JTEHERAN-R,ANOLA-R,8,5,110,-125,116,-131,0.49,0.51
329,SD,MIL,CRICHARD-L,CANDERSON-R,1,2,105,-115,116,-131,0.42,0.58
329,LAD,SF,CKERSHAW-L,TBLACH-L,0,1,-300,260,-306,266,0.7,0.3
329,ARI,COL,PCORBIN-L,JGRAY-R,8,2,105,-115,-109,-101,0.53,0.47
329,BAL,MIN,DBUNDY-R,JODORIZZI-R,3,2,-125,110,-127,112,0.5,0.5
329,TEX,HOU,CHAMELS-L,JVERLANDER-R,1,4,148,-168,140,-160,0.41,0.59
329,TOR,NYY,JHAPP-L,LSEVERINO-R,1,6,140,-155,151,-171,0.46,0.54
329,TB,BOS,CARCHER-R,CSALE-L,6,4,155,-175,153,-173,0.43,0.57
329,OAK,LAA,KGRAVEMAN-R,GRICHARDS-R,6,5,120,-135,108,-118,0.48,0.52
329,KC,CHW,DDUFFY-L,JSHIELDS-R,7,14,-170,150,-140,125,0.59,0.41
329,SEA,CLE,FHERNANDEZ-R,CKLUBER-R,2,1,150,-170,160,-180,0.39,0.61
330,MIA,CHC,CSMITH-L,KHENDRICKS-R,2,1,205,-230,175,-200,0.35,0.65
330,ATL,PHI,MFOLTYNEWICZ-R,NPIVETTA-R,4,5,-130,115,-101,-109,0.54,0.46
330,ARI,COL,RRAY-L,TANDERSON-L,9,8,-165,145,-143,128,0.57,0.43
330,LAD,SF,AWOOD-L,JCUETO-R,0,1,-190,170,-163,143,0.64,0.36
330,SD,MIL,JLUCCHESI-L,JCHACIN-R,6,8,113,-123,103,-113,0.45,0.55
330,TOR,NYY,ASANCHEZ-R,MTANAKA-R,2,4,130,-145,122,-137,0.43,0.57
330,TB,BOS,BSNELL-L,DPRICE-L,0,1,155,-175,126,-141,0.47,0.53
330,TEX,HOU,DFISTER-R,DKEUCHEL-L,5,1,175,-200,150,-170,0.41,0.59
330,OAK,LAA,SMANAEA-L,TSKAGGS-L,1,2,-107,-103,104,-114,0.52,0.48
330,CIN,WSH,HBAILEY-R,MSCHERZER-R,0,2,175,-200,190,-215,0.37,0.63
330,DET,PIT,JZIMMERMANN-R,INOVA-R,10,13,109,-119,114,-129,0.47,0.53
331,NYM,STL,JDEGROM-R,MWACHA-R,6,2,-155,140,-117,107,0.53,0.47
331,CIN,WSH,LCASTILLO-R,SSTRASBURG-R,7,13,165,-185,130,-145,0.41,0.59
331,ATL,PHI,BMCCARTHY-R,VVELASQUEZ-R,15,2,-125,110,-115,105,0.53,0.47
331,MIA,CHC,ODESPAIGNE-R,YDARVISH-R,6,10,205,-230,185,-210,0.38,0.62
331,ARI,COL,ZGREINKE-R,GMARQUEZ-R,1,2,-165,145,-151,136,0.6,0.4
331,SD,MIL,LPERDOMO-R,BSUTER-L,3,7,110,-125,110,-120,0.44,0.56
331,LAD,SF,KMAEDA-R,DHOLLAND-L,5,0,-210,185,-205,180,0.66,0.34
331,TEX,HOU,MMOORE-L,LMCCULLERSJR.-R,3,9,170,-190,176,-201,0.42,0.58
331,OAK,LAA,DMENGDEN-R,MSHOEMAKER-R,3,8,112,-127,-103,-107,0.51,0.49
331,TOR,NYY,MESTRADA-R,CSABATHIA-L,5,3,130,-145,-106,-104,0.44,0.56
331,SEA,CLE,JPAXTON-L,CCARRASCO-R,5,6,111,-121,-103,-107,0.46,0.54
331,TB,BOS,AKITTREDGE-R,RPORCELLO-R,2,3,140,-155,101,-111,0.47,0.53
331,BAL,MIN,ACASHNER-R,KGIBSON-R,2,6,-124,114,109,-119,0.5,0.5
331,KC,CHW,IKENNEDY-R,LGIOLITO-R,3,4,-126,111,-102,-108,0.49,0.51
401,MIA,CHC,DPETERS-L,JQUINTANA-L,6,0,180,-205,183,-208,0.35,0.65
401,NYM,STL,SMATZ-L,LWEAVER-R,1,5,101,-111,137,-152,0.48,0.52
401,CIN,WSH,SROMANO-R,GGONZALEZ-L,5,6,145,-165,116,-131,0.42,0.58
401,LAD,SF,RHILL-L,CSTRATTON-R,9,0,-185,165,-195,175,0.66,0.34
401,BAL,MIN,KGAUSMAN-R,JBERRIOS-R,0,7,-115,105,-113,103,0.5,0.5
401,TOR,NYY,MSTROMAN-R,SGRAY-R,7,4,109,-119,-114,104,0.48,0.52
401,TB,BOS,JFARIA-R,HVELAZQUEZ-R,1,2,105,-115,-114,104,0.5,0.5
401,TEX,HOU,MMINOR-L,GCOLE-R,2,8,140,-155,140,-155,0.43,0.57
401,OAK,LAA,DGOSSETT-R,SOHTANI-R,4,7,109,-119,111,-126,0.48,0.52
401,SEA,CLE,MLEAKE-R,TBAUER-R,5,4,125,-140,130,-145,0.45,0.55
401,DET,PIT,MFULMER-R,TWILLIAMS-R,0,1,-109,-101,-111,101,0.5,0.5
401,DET,PIT,RCARPENTER-L,CKUHL-R,6,8,-105,-105,111,-121,0.47,0.53
402,MIL,STL,ZDAVIES-R,MMIKOLAS-R,4,8,-130,115,-111,101,0.54,0.46
402,CIN,CHC,TMAHLE-R,TCHATWOOD-R,1,0,125,-140,125,-140,0.41,0.59
402,ATL,WSH,SNEWCOMB-L,TROARK-R,1,8,115,-130,111,-121,0.47,0.53
402,ARI,LAD,TWALKER-R,HRYU-L,8,7,105,-115,-101,-109,0.5,0.5
402,SD,COL,BMITCHELL-R,CBETTIS-R,4,7,110,-120,-111,101,0.48,0.52
402,DET,KC,FLIRIANO-L,JHAMMEL-R,6,1,-108,-102,-111,101,0.54,0.46
402,TOR,CHW,JGARCIA-L,RLOPEZ-R,4,2,-140,125,-175,155,0.59,0.41
